CT&人力配置汇总表,,,,,,,,,,,,,,,,,,,,,,,,
P/N,Line,Assembly Line,,,Piston,,,Cartridge,,,Washing Machine,,,MGU,,,AA,,Customer,Statistic Group,Vehicle,Channel,Product Description,
,,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,,,,,,
0204L617152B3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,KC-1,OEM,?42 (308x28) Cast Iron,
0204L617162B3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,KC-1,OEM,?42 (308x28) Cast Iron,
0204L605535NF,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,GWM,ZOHe+APB-Mi gen1,CH071,OEM,?38 (286x12) Cast Iron,
0204L605545NF,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,GWM,ZOHe+APB-Mi gen1,CH071,OEM,?38 (286x12) Cast Iron,
0204L653075NF,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,GWM,ZOHe+APB-Mi gen1 (red),CH071,OEM,?38 (286x12) Cast Iron,
0204L653085NF,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,GWM,ZOHe+APB-Mi gen1 (red),CH071,OEM,?38 (286x12) Cast Iron,
Z526270028000,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,GWM,ZOHe+APB-Mi gen1,CHK015,OEM,?42 (323x18) Cast Iron,
0204L60848,MGU1,,,,,,,,,,,,,18,7,3,,,GWM,MGU,CHB031,OEM,,
0204L604476KS,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,Roewe,ZOHe+BIR3,AS21,OEM,?42 (282x12) Cast Iron,
0204L604486KS,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,Roewe,ZOHe+BIR3,AS21,OEM,?42 (282x12) Cast Iron,
0204L79394,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,BAIC,ZOHe+APB-Mi Gen2,B20A,OEM,ZOHe+APB-Mi Gen2,
0204L79395,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,BAIC,ZOHe+APB-Mi Gen2,B20A,OEM,ZOHe+APB-Mi Gen2,
02047884382CD,Line1,42,9,27,,,,,,,,,,,,,,,Mercedes-Benz,ZOH,NCV3,OEM,?48x2 (303x28) Cast Iron,因为托盘数量不够
02047884372CD,Line1,42,9,27,,,,,,,,,,,,,,,Mercedes-Benz,ZOH,NCV3,OEM,?48x2 (303x28) Cast Iron,因为托盘数量不够
02040061202CD,Line1,42,9,27,,,,,,,,,,,,,,,Mercedes-Benz,ZOH,NCV3,OEM,?51 (298x16) Cast Iron,因为托盘数量不够
02040061212CD,Line1,42,9,27,,,,,,,,,,,,,,,Mercedes-Benz,ZOH,NCV3,OEM,?51 (298x16) Cast Iron,因为托盘数量不够
02047442895P0,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,B5/BX3,OEM,?54 (283x26) Cast Iron,
02047442905P0,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,B5/BX3,OEM,?54 (283x26) Cast Iron,
02047448405P0,Line1,10,23,29,16,2,1,14,2,1,14,1,1,,,,,,Citroen,ZOH+BIR3,B5/BX3,OEM,?38 (249x9) Alu,
02047448415P0,Line1,10,23,29,16,2,1,14,2,1,14,1,1,,,,,,Citroen,ZOH+BIR3,B5/BX3,OEM,?38 (249x9) Alu,
02047442895P0,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,B5/BX3,OEM,?54 (283x26) Cast Iron,
02047442905P0,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,B5/BX3,OEM,?54 (283x26) Cast Iron,
02047448405P0,Line1,10,23,29,16,2,1,14,2,1,14,1,1,,,,,,Citroen,ZOH+BIR3,B5/BX3,OEM,?38 (249x9) Alu,
02047448415P0,Line1,10,23,29,16,2,1,14,2,1,14,1,1,,,,,,Citroen,ZOH+BIR3,B5/BX3,OEM,?38 (249x9) Alu,
02047442895P0,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,B5/BX3,OEM,?54 (283x26) Cast Iron,
02047442905P0,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,B5/BX3,OEM,?54 (283x26) Cast Iron,
02047448405P0,Line1,10,23,29,16,2,1,14,2,1,14,1,1,,,,,,Citroen,ZOH+BIR3,B5/BX3,OEM,?38 (249x9) Alu,
02047448415P0,Line1,10,23,29,16,2,1,14,2,1,14,1,1,,,,,,Citroen,ZOH+BIR3,B5/BX3,OEM,?38 (249x9) Alu,
02048014465P0,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,DPCA,ZOH+BIR3,G25 ,OEM,?38 (249x9) Cast Iron,
02048014475P0,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,DPCA,ZOH+BIR3,G25 ,OEM,?38 (249x9) Cast Iron,
02048014275P0,Line2,9,19,22,,,,,,,,,,,,,,,DPCA,ZOH,G25 ,OEM,?54 (238x26) Cast Iron,
02048014285P0,Line2,9,19,22,,,,,,,,,,,,,,,DPCA,ZOH,G25 ,OEM,?54 (238x26) Cast Iron,
0204L752245P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752255P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752245P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752255P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752245P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752255P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752245P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
0204L752255P0,Line2,9,19,22,,,,,,,,,,,,,,,Peugeot,ZOH,M33,OEM,?54 (266x22) Cast Iron,
02047442895ZN,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,M44-EP6,OEM,?54 (283x26) Cast Iron,
02047442905ZN,Line1,10,22,27,,,,,,,,,,,,,,,Citroen,ZOH,M44-EP6,OEM,?54 (283x26) Cast Iron,
0204L71719,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,T88R,OEM,?38 (290x12) ,
0204L71719,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,T88R,OEM,?38 (290x12) ,
02047820015P0,Line2,13,19,22,,,,,,,,,,,,,,,Peugeot,ZOHe,T91,OEM,?57 (272x26) Cast Iron,
02047820025P0,Line2,13,19,22,,,,,,,,,,,,,,,Peugeot,ZOHe,T91,OEM,?57 (272x26) Cast Iron,
02047988545P0,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Peugeot,ZOHe+APB-Mi gen1,T91,OEM,?38 (268x12) Cast Iron,
02047988555P0,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Peugeot,ZOHe+APB-Mi gen1,T91,OEM,?38 (268x12) Cast Iron,
02047820015P0,Line2,13,19,22,,,,,,,,,,,,,,,Peugeot,ZOHe,T91,OEM,?57 (272x26) Cast Iron,
02047820025P0,Line2,13,19,22,,,,,,,,,,,,,,,Peugeot,ZOHe,T91,OEM,?57 (272x26) Cast Iron,
